koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens
1.0,26.39432897,3.573,1510.9,0.602,48.2,0.03681,3.07,5127.0,4.595,0.02,0.8454999999999999,0.763,2.6195
1.0,13.57078281,3.3539,511.7,0.866,88.4,0.023908,2.64,5854.0,4.406,-0.12,0.951,1.012,1.294
1.0,7.12594387,3.0014,192.4,0.898,47.1,0.01512,1.79,5779.0,4.339,-0.06,0.941,1.087,1.033
0.0,7.442652004,2.3078,24446.2,0.137,835.6,0.143936,15.03,6108.0,4.469,-0.3,0.981,0.956,1.582
1.0,16.38489988,3.0249,1127.1,0.001,28.9,0.029758,2.0,4126.0,4.661,0.04,0.6305000000000001,0.615,3.829
1.0,7.8774163,2.0805,1306.1,0.041,38.7,0.03209,2.16,4126.0,4.661,0.04,0.6305000000000001,0.615,3.829
1.0,36.4454001,4.007,1122.3,0.028,21.7,0.029681,1.99,4126.0,4.661,0.04,0.6305000000000001,0.615,3.829
1.0,3.728732147,2.683,5226.5,0.558,345.2,0.068178,6.02,5492.0,4.577,-0.1,0.90885,0.809,2.403
1.0,2.243380573,1.1196,821.7,0.915,38.9,0.032248,1.99,4149.0,4.698,-0.32,0.5714999999999999,0.557,4.571
0.0,10.405998015,6.5036,14488.8,0.324,745.2,0.111248,11.23,5746.0,4.393,-0.54,0.77,0.924,1.373
1.0,2.337437946,1.9982,971.2,0.28,82.4,0.027998,2.34,4989.0,4.605,-0.1,0.8105,0.727,2.8255
1.0,11.59822233,2.5237,2804.5,0.679,71.0,0.051287,2.65,3688.0,4.79,0.0,0.503,0.473,6.687
1.0,6.575315881,4.3084,2793.3,0.39,221.1,0.049152,5.31,5992.0,4.415,-0.32,0.927,0.989,1.349
1.0,7.275040844,7.5377,3001.0,0.547,312.1,0.051358,4.86,5485.0,4.556,0.21,0.986,0.867,2.133
1.0,19.27153892,2.7594,1219.8,0.031,37.1,0.031585,1.93,4077.0,4.702,-0.24,0.5705,0.555,4.632
1.0,10.06524317,1.369,1053.3,0.628,30.3,0.031153,1.91,4077.0,4.702,-0.24,0.5705,0.555,4.632
1.0,12.3935651,3.8896,916.6,0.883,35.8,0.032536,2.66,5557.0,4.594,-0.4,0.82175,0.752,2.7305
1.0,43.84439721,6.802,615.2,0.852,83.7,0.025934,2.87,5854.0,4.406,-0.12,0.951,1.012,1.294
0.0,3.341913228,3.813,725.3,1.213,39.0,0.243351,21.55,5290.0,4.552,-0.02,0.854,0.804,2.286
0.0,1.626630225,2.1145,1620.6,1.26,103.6,0.305244,32.43,5735.0,4.41,-0.18,0.889,0.973,1.359
1.0,2.711504086,3.0099,837.5,0.023,64.5,0.026533,3.12,6167.0,4.444,0.07,1.1592,1.064,1.332
1.0,7.21203748,4.0491,950.4,0.012,51.5,0.028255,3.32,6167.0,4.444,0.07,1.1592,1.064,1.332
0.0,14.1798187,2.505,459.9,0.1601,11.2,0.019561,1.88,5799.0,4.539,-0.1,0.975,0.878,2.026
1.0,8.47237911,2.7245,1123.5,0.022,47.6,0.030119,2.59,5354.0,4.587,-0.08,0.884,0.788,2.542
1.0,60.4189369,5.039,931.3,0.094,20.1,0.027422,2.36,5354.0,4.587,-0.08,0.884,0.788,2.542
1.0,12.611904345,5.1497,6105.6,0.55,277.2,0.073758,7.4,5795.0,4.508,-0.02,0.992,0.919,1.803
0.0,1.433769925,1.8868,1976.3,1.268,112.6,0.318591,46.58,6017.0,4.395,-0.46,1.0157,1.099,0.9413
0.0,10.31872301,3.836,871.7,1.215,38.2,0.247006,28.59,5927.0,4.409,0.07,1.05,1.06,1.243
1.0,2.539183147,2.4282,382.1,0.238,38.9,0.017724,2.06,5980.0,4.489,-0.1,0.974,0.956,1.379
1.0,6.770300385,2.0844,1304.0,0.838,50.8,0.037414,2.77,5666.0,4.656,-0.84,0.76605,0.679,3.4560000000000004
0.0,0.444291966,2.0792,10967.4,1.258,299.7,0.396105,27.51,5255.0,4.674,-0.72,0.7015,0.636,3.849
1.0,20.06036336,3.3203,1494.7,0.556,35.2,0.036455,1.96,3950.0,4.754,-0.46,0.504,0.493,5.9255
1.0,46.1842039,4.758,1394.7,0.013,26.0,0.033974,1.83,3950.0,4.754,-0.46,0.504,0.493,5.9255
1.0,23.9800854,5.351,104.0,0.95,17.1,0.011879,1.31,5854.0,4.406,-0.12,0.951,1.012,1.294
1.0,7.82502168,2.186,520.8,0.708,15.9,0.022312,1.2,3950.0,4.754,-0.46,0.504,0.493,5.9255
1.0,3.895936525,2.3111,8544.8,0.524,370.8,0.08689,7.34,5557.0,4.58,-0.3,0.85555,0.781,2.5675
1.0,22.36646466,5.228,986.8,0.4,32.1,0.028938,2.32,5413.0,4.604,-0.32,0.8140000000000001,0.751,2.8085
1.0,1.625522174,2.38963,7969.0,0.076,799.7,0.080543,9.73,5611.0,4.39,0.18,0.9974,1.057,1.0893000000000002
0.0,7.544039,6.222,322.6,1.175,14.2,0.194187,17.47,5648.0,4.567,-0.2,0.9087,0.824,2.3135
1.0,9.02930689,3.1449,1019.8,0.024,53.9,0.028718,2.57,5349.0,4.526,-0.12,0.824,0.82,2.101
0.0,10.328035714,7.7915,16917.7,0.281,636.8,0.118805,13.28,5627.0,4.359,-0.1,0.874,1.024,1.146
1.0,143.2063047,8.9302,10565.7,0.379,138.8,0.094044,8.9,5485.0,4.556,0.21,0.986,0.867,2.133
1.0,6.164876,3.262,55.8,0.646,14.4,0.007192,0.79,5854.0,4.406,-0.12,0.951,1.012,1.294
1.0,60.32494216,6.6188,20280.4,0.224,347.2,0.128744,12.19,5485.0,4.556,0.21,0.986,0.867,2.133
1.0,29.1598615,4.803,488.0,0.3619,11.6,0.02018,1.91,5485.0,4.556,0.21,0.986,0.867,2.133
0.0,1.540397253,2.1541,816.1,1.225,38.8,0.257087,25.69,5663.0,4.53,0.21,1.034,0.915,1.901
0.0,2.99025443,5.414,589.2,0.014,48.5,0.021279,1.7,4667.0,4.578,0.1,0.737,0.731,2.658
