date,startup,vertical,subvertical,city,investor,round,Amount_in_Cr
2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,8.4
2017-09-27,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,2.52
2017-09-28,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,8.4
2017-08-01,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,10.92
2017-08-02,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,4.2
2017-08-02,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,7.14
2017-08-03,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,2.52
2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,2.0412
2017-08-08,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,1.848
2017-08-09,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,26.04
2017-08-09,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,6.5772
2017-08-11,Flipkart,eCommerce,Online Marketplace,Bangalore,Softbank,Private Equity,21000.0
2017-08-11,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,302.4
2017-08-14,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,2.6208
2017-08-15,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,3.234
2017-08-20,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,1.5708
2017-08-21,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,57.12
2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,6.1656
2017-08-23,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,672.0
2017-08-23,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,19.32
2017-08-23,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,4.2
2017-08-24,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,134.4
2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,6.3
2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,1.05
2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,58.8
2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,210.0
2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,6.3
2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,285.6
2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,252.0
2017-07-01,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,8.4
2017-07-03,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,21.84
2017-07-04,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,168.0
2017-07-05,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,71.4
2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,100.8
2017-07-05,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,8.4
2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,8.4
2017-07-10,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,25.2
2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,18.9
2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,3.8976
2017-07-12,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,155.4
2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,4.536
2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,14.28
2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,16.8
2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,33.6
2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,84.0
2017-07-19,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,5.04
2017-07-20,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,5.88
2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,1.68
2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,10.08
2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,294.0
2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,210.0
2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,1.68
2017-07-27,1mg,eCommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,126.0
2017-07-28,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,10.5
2017-06-02,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding,1.9656
2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,420.0
2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,8.4
2017-06-06,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,10.08
2017-06-06,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,8.4
2017-06-07,ZipLoan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,5.46
2017-06-07,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,5.04
2017-06-08,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,1.9488
2017-06-08,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,12.6
2017-06-08,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,12.6
2017-06-08,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,2.94
2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,2.52
2017-06-09,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,2.1
2017-06-12,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,65.52
2017-06-12,Boxx.ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,4.2
2017-06-12,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,8.4
2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,6.5184
2017-06-12,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,126.0
2017-06-13,Goodera,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,46.2
2017-06-14,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,420.0
2017-06-14,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,4.2
2017-06-15,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,103.32
2017-06-16,Goodbox,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,8.4
2017-06-16,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,0.84
2017-06-16,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,16.8
2017-06-19,Unbxd,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,105.0
2017-06-19,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,33.6
2017-06-20,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding,2.52
2017-06-20,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,43.68
2017-06-21,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,20.16
2017-06-21,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,37.8
2017-06-21,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,1.806
2017-06-21,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,260.4
2017-06-22,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,38.64
2017-06-22,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,16.8
2017-06-22,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,4.2
2017-06-23,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,33.6
2017-06-23,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,8.4
2017-06-26,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,42.0
2017-06-26,Flipkart,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,596.4
2017-06-26,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,33.6
2017-06-27,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,42.0
2017-06-27,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,2.6124
2017-06-28,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,25.2
2017-06-28,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,16.8
2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,8.4
2017-06-30,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,42.0
2017-06-30,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,176.4
2017-05-01,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,619.08
2017-05-01,Power2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,84.0
2017-05-02,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,12.6
2017-05-02,4tigo,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,84.0
2017-05-02,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,3.276
2017-05-03,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,877.8
2017-05-03,Sumeru,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,8.4
2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,1.9572
2017-05-08,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,5.88
2017-05-08,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,8.4
2017-05-08,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,42.0
2017-05-08,CureFit,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,26.88
2017-05-09,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,0.42
2017-05-10,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,11.76
2017-05-10,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,64.68
2017-05-10,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,5.04
2017-05-11,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,33.6
2017-05-12,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,42.0
2017-05-12,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,3.9144
2017-05-12,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,8.4
2017-05-15,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,4.2
2017-05-16,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,25.2
2017-05-16,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,4.2
2017-05-17,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,2.1
2017-05-17,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,44.52
2017-05-18,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,8.4
2017-05-18,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,11760.0
2017-05-19,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,8.4
2017-05-22,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,252.0
2017-05-22,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,4.2
2017-05-23,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,55.44
2017-05-23,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,8.4
2017-05-24,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,4.872
2017-05-25,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,67.2
2017-05-29,Collateral Medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,29.4
2017-05-30,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,12.6
2017-05-30,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,672.0
2017-05-31,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,42.0
2017-05-31,Magicpin,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,58.8
2017-04-01,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,31.92
2017-04-03,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,68.88
2017-04-03,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,336.0
2017-04-04,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,22.68
2017-04-04,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,51.24
2017-04-04,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,30.996
2017-04-04,ElastiRun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,58.8
2017-04-04,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,4.2
2017-04-04,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,4.2
2017-04-05,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,25.2
2017-04-06,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,176.4
2017-04-06,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,42.0
2017-04-07,PharmEasy,eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,151.2
2017-04-08,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,38.64
2017-04-10,Omnify,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,1.26
2017-04-10,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,19.32
2017-04-11,Ninjacart,eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,46.2
2017-04-11,MergerWare,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,0.84
2017-04-12,Clovia,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,33.6
2017-04-12,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,37.8
2017-04-12,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,37.8
2017-04-12,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,17.64
2017-04-13,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,64.68
2017-04-14,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,2184.0
2017-04-15,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,2.604
2017-04-17,CrediHealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,12.6
2017-04-17,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,1.47
2017-04-17,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,5.208
2017-04-17,LendingKart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,39.06
2017-04-18,Innefu Security Consulting,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,16.8
2017-04-18,Whodat,Technology,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,5.04
2017-04-18,Absentia VR,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,10.5
2017-04-19,IOTrek,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,1.302
2017-04-20,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,25.2
2017-04-21,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,8.4
2017-04-24,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,52.92
2017-04-24,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,2100.0
2017-04-24,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,26.88
2017-04-25,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,2.058
2017-04-25,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,26.04
2017-04-26,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,168.0
2017-04-26,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,92.4
2017-04-26,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,12.6
2017-04-26,StalkBuyLove,eCommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,8.4
2017-04-27,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,30.24
2017-04-27,iNurture,Consumer Internet,Online Educational courses,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,12.6
2017-04-28,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,6.3
2017-03-01,Ola,Consumer Internet,App based cab aggregator,Bangalore,SoftBank Group Corp,Private Equity,2772.0
2017-03-01,Belong,Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital India,Private Equity,84.0
2017-03-02,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,12.6
2017-03-02,Karomi,Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,4.2
2017-03-02,Red Carpet,Consumer Internet,Micro Lending platform,Gurgaon,Lightspeed Venture Partners,Private Equity,21.0
2017-03-02,CreditMantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,63.84
2017-03-03,Tydy,Technology,Employee Onboarding and Engagement platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,2.31
2017-03-03,Oho Shop,Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,56.28
2017-03-03,Paytm Marketplace,ECommerce,ECommerce Marketplace,Bangalore,Alibaba,Private Equity,1680.0
2017-03-04,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,163.8
2017-03-06,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,10.08
2017-03-06,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,1.26
